std::HUGE_VAL,<cmath>
std::HUGE_VALF,<cmath>
std::HUGE_VALL,<cmath>
std::INFINITY,<cmath>
std::NAN,<cmath>
std::abs,<cmath>
std::acos,<cmath>
std::acosh,<cmath>
std::asin,<cmath>
std::asinh,<cmath>
std::atan,<cmath>
std::atan2,<cmath>
std::atanh,<cmath>
std::cbrt,<cmath>
std::ceil,<cmath>
std::copysign,<cmath>
std::cos,<cmath>
std::cosh,<cmath>
std::double_t,<cmath>
std::erf,<cmath>
std::erfc,<cmath>
std::exp,<cmath>
std::exp2,<cmath>
std::expm1,<cmath>
std::fabs,<cmath>
std::fdim,<cmath>
std::float_t,<cmath>
std::floor,<cmath>
std::fma,<cmath>
std::fmax,<cmath>
std::fmin,<cmath>
std::fmod,<cmath>
std::fpclassify,<cmath>
std::frexp,<cmath>
std::hypot,<cmath>
std::ilogb,<cmath>
std::isfinite,<cmath>
std::isgreater,<cmath>
std::isgreaterequal,<cmath>
std::isinf,<cmath>
std::isless,<cmath>
std::islessequal,<cmath>
std::islessgreater,<cmath>
std::isnan,<cmath>
std::isnormal,<cmath>
std::isunordered,<cmath>
std::ldexp,<cmath>
std::lgamma,<cmath>
std::llrint,<cmath>
std::llround,<cmath>
std::log,<cmath>
std::log10,<cmath>
std::log1p,<cmath>
std::log2,<cmath>
std::logb,<cmath>
std::lrint,<cmath>
std::lround,<cmath>
std::math_errhandling,<cmath>
std::modf,<cmath>
std::nanf,<cmath>
std::nanl,<cmath>
std::nearbyint,<cmath>
std::nextafter,<cmath>
std::nexttoward,<cmath>
std::pow,<cmath>
std::remainder,<cmath>
std::remquo,<cmath>
std::rint,<cmath>
std::round,<cmath>
std::scalbln,<cmath>
std::scalbn,<cmath>
std::signbit,<cmath>
std::sin,<cmath>
std::sinh,<cmath>
std::sqrt,<cmath>
std::tan,<cmath>
std::tanh,<cmath>
std::tgamma,<cmath>
std::trunc,<cmath>
std::codecvt_mode,<codecvt>
std::codecvt_utf16,<codecvt>
std::codecvt_utf8,<codecvt>
std::codecvt_utf8_utf16,<codecvt>
std::abs,<complex>
std::acos,<complex>
std::acosh,<complex>
std::arg,<complex>
std::asin,<complex>
std::asinh,<complex>
std::atan,<complex>
std::atanh,<complex>
std::complex,<complex>
std::conj,<complex>
std::cos,<complex>
std::cosh,<complex>
std::exp,<complex>
std::imag,<complex>
std::log,<complex>
std::log10,<complex>
std::norm,<complex>
std::polar,<complex>
std::pow,<complex>
std::proj,<complex>
std::real,<complex>
std::sin,<complex>
std::sinh,<complex>
std::sqrt,<complex>
std::tan,<complex>
std::tanh,<complex>
std::condition_variable,<condition_variable>
std::condition_variable_any,<condition_variable>
std::cv_status,<condition_variable>
std::notify_all_at_thread_exit,<condition_variable>
std::jmp_buf,<csetjmp>
std::longjmp,<csetjmp>
std::setjmp,<csetjmp>
std::raise,<csignal>
